Seoul,x<=60,336.5282712,337.1046018,338.68715,340.7992613,343.9343324,346.999772,351.5197618,356.099665,361.4913013,367.7331263,372.1324431,373.2784117,374.5553044,375.6952876,377.0869076,378.8287846,382.0172207,390.073381,396.3717772,403.3345865,406.0613958,409.9365045,413.6049828,418.6106426,428.3527767,435.4961376,447.8988363,457.1577731,460.7281361,464.6856285,469.5285648,478.0294448,503.4680142,518.9301689,525.6899546,527.3789739,557.706188,556.1323994,553.5032862,552.9302184,552.7592529,554.2192739,563.0017461,570.2686303,577.2787048,579.0817236,583.6364212,592.082036,608.1671089,615.8837754,625.9651411,627.3871799,627.2980625,634.8268427,655.8843684,675.149076,695.1460642,705.2064105,718.1185647,728.9261492,739.8210318,754.0176777,767.8922562,775.7788756,784.9630629,797.6938368,809.5664658,826.6846557,845.9935785,854.1261927,864.5157903,865.1639496,866.0606489,866.9347315,867.725727
Busan,135<x,455.3128475,457.0789813,458.3811178,461.7441237,464.9185216,466.0565345,468.9743225,473.6166891,477.588691,489.7236621,501.5352562,506.0770172,509.6792471,511.9433194,515.7782292,518.9430475,524.3917494,527.5952563,533.3331166,534.7118833,535.5789358,536.7320997,537.6151253,538.9006031,539.3799181,539.5671503,540.9622767,541.5900039,541.8914219,542.4099205,539.4480375,538.7950964,538.4186326,539.0085125,537.2211027,537.0473342,537.2828683,535.0435333,535.3642512,534.7777552,534.6322547,533.3846509,533.3599529,532.2351492,532.2007642,532.8010731,533.9704427,541.8348817,545.252988,549.2596944,554.4919521,556.540117,557.8183052,563.7578855,575.0134769,583.8900155,596.0975162,608.2829715,649.1866992,688.327415,710.6999991,727.5894601,735.8091552,742.5721565,761.2177397,782.8767985,800.817795,817.6646298,835.1795016,862.914309,892.8895408,906.8915748,921.3042318,935.5383635,947.4344742
Busan,102<x<=135,376.1670152,377.2203494,378.5234982,380.1994303,382.0178704,383.7311275,387.0611894,391.5613526,397.0360841,406.8099563,416.3469734,420.2449671,424.838866,427.1863165,429.1185626,431.0702354,434.0300657,437.3881003,439.9053883,443.2188989,444.3108392,444.4703416,445.3327929,445.5485087,445.2189834,444.9042507,444.2233391,443.9589541,444.4946931,444.4359736,444.0088018,443.4212671,442.8863148,442.3378572,441.5820742,441.7382516,441.8069349,439.8922163,439.0900202,437.2272898,436.7187762,435.6206827,434.6815932,433.4067858,432.7472955,432.6038886,434.3904296,442.1911984,444.9716806,446.9601753,450.4806448,452.2518033,452.0642869,457.925048,461.9559753,470.904122,477.060701,481.039437,510.1404281,535.2388925,547.5363231,563.5293387,573.0202135,583.3005992,591.4042564,608.7818173,622.7616142,635.8523477,646.0987041,664.3411911,683.491308,692.1921969,701.2718162,710.5166234,718.1387559
Busan,85<x<=102,306.5538733,307.3307576,308.1008468,309.0993966,311.6757479,313.3408302,314.7126443,316.1953215,318.8836917,327.033429,335.0747898,340.7598581,347.8814857,349.0877726,350.4529444,350.913699,351.1567769,352.8850024,353.3672263,355.5080756,355.2017855,355.6073932,355.4543929,355.6635209,356.0465655,356.0643082,355.9703103,353.9903702,352.7383214,352.092353,351.9258037,351.1217223,351.7935801,351.0141898,351.8152942,352.3471367,337.688586,337.1612551,336.6215294,335.7880259,335.1669907,333.5834333,331.6604246,330.0773584,328.31222,328.3784968,328.2498217,329.0999928,329.1452949,329.2768502,328.6454119,328.7117178,328.2054502,327.9418223,328.4724239,329.6289116,333.1361432,334.0093532,348.5101616,374.7298921,387.0843795,399.9954776,406.0710762,410.8712829,417.2630764,429.6017121,434.4752247,440.4420849,447.0635005,487.6312724,529.180088,542.4567617,557.0894776,574.9824135,589.3574468
Busan,60<x<=85,250.093884,250.8760887,251.7693939,252.785939,254.0997037,255.0011002,257.2121169,260.0863807,262.1543469,268.1307322,274.0213512,277.4370999,280.4587882,281.7230901,283.2812751,284.92786,286.0896681,287.8314359,289.0582076,290.4049173,290.5819052,290.6526695,290.652145,290.5874193,290.6185826,290.6843474,290.5198727,290.2014019,289.8370086,289.1352198,288.4295466,287.2749625,286.7329802,285.8286826,284.7775429,284.2859258,278.8723175,278.1750369,277.77512,276.5796458,275.8825818,274.2439486,273.4720669,272.3801184,271.8644124,270.9153626,271.2132661,276.1784594,278.5748548,279.7359073,281.4971982,282.6248256,282.87559,285.0801774,288.6957764,292.2348395,296.5702516,300.1861784,316.9795523,332.3234552,342.7290058,348.6115219,353.4599504,357.2090013,363.7448266,371.8181115,378.9161807,386.231799,392.079578,409.9329152,429.3247199,437.8516478,446.513792,455.2357188,462.3084452
Busan,x<=60,161.2808632,161.7433252,162.3817874,163.0611416,163.8842191,164.5230478,165.9697741,167.9421911,170.07964,175.301131,179.8529744,181.7298716,183.1498549,183.9508956,184.7654916,185.3405468,185.8941662,186.9516358,187.4823848,188.1822845,188.2712619,188.3717021,188.1962696,187.9909478,187.3811524,187.2408737,187.0315633,186.3169865,186.0565358,185.5817028,184.599915,183.6348909,183.0039104,181.8251062,180.7137794,180.4814526,178.6989523,178.0570412,177.594228,177.0610013,176.5069115,175.7093799,175.1792264,174.3511345,174.1033822,173.8302502,173.5135915,175.0057446,175.2026668,175.3788921,176.4592473,176.9299243,176.7975799,177.7241118,180.5391515,181.426949,182.0267875,183.1463611,189.7082643,197.2987138,204.3166164,207.9295932,209.3336849,211.6336856,212.9275832,214.9443537,217.7784234,221.1760328,224.1945935,231.1299306,238.9376625,242.4945701,246.1836988,249.9650488,252.95584
Daegu,135<x,654.2260198,653.5526262,653.6062929,656.2998396,655.8520011,655.4202451,655.1533234,653.5514506,653.7136035,653.3403561,665.6242274,666.7039438,667.6254466,667.5329666,667.5329666,667.7645023,667.2709028,667.4286022,681.1039552,694.3453217,703.702677,709.947533,720.0129753,723.1484608,739.6111451,745.9163427,753.8227639,779.1432466,787.5110111,794.650169,798.7053037,800.5673468,810.7344353,813.3153405,820.4896617,825.2457854,805.935648,821.3373355,823.4138896,823.0864711,824.6108058,825.5301251,828.8621368,830.7889524,831.5061971,833.7192526,843.0611819,848.1394672,857.5831709,859.4318661,861.5974926,862.1945387,863.9366518,868.6656951,879.3127202,885.5214493,906.0298383,925.7483581,963.711553,991.0448374,1002.97028,1021.905422,1039.279184,1052.684785,1064.554705,1075.865882,1077.192597,1081.806797,1089.25813,1087.797048,1087.127632,1087.167275,1087.394743,1087.600946,1087.834889
Daegu,102<x<=135,413.9453241,413.1960412,412.7576943,412.1521205,411.184631,410.168979,409.2267289,408.18702,407.7163896,407.3840943,406.9455466,406.9030856,406.3011539,406.4593265,406.2028073,406.4608892,406.4696216,406.6021939,407.6969782,411.0339808,413.0446981,416.1816102,418.6772206,420.0807171,424.3249343,426.1353816,430.1229921,433.1640874,435.2720919,436.5063886,438.3715584,440.6684719,446.3708059,449.1753542,450.4983321,452.730043,449.0446615,449.5864101,450.8160243,451.3503679,451.8526709,452.1098068,452.7550322,453.7257546,456.2932269,456.990781,458.4538214,460.3783592,461.0188737,462.8975953,463.402068,463.813604,464.9864568,468.4886456,473.3936338,477.5561061,488.314918,495.7705803,515.8061919,530.4864959,539.3399412,552.1070248,562.0232531,569.1065954,576.5122126,587.1415955,589.8908859,591.8720584,595.9956656,604.6406355,614.0419056,618.2526552,622.4920458,626.6740571,629.9648709
Daegu,85<x<=102,429.486214,429.4901381,429.4882378,429.4918294,429.4330222,429.431882,428.7511891,429.1556585,429.1541383,429.1552785,432.8486501,433.3789227,437.875926,438.0678936,438.0658223,437.9799905,437.9799905,438.0145819,442.5057894,457.6750073,466.1472,466.9629067,466.1577496,465.8172804,471.6477474,477.059237,488.6020377,488.9363602,499.4736281,499.4809918,499.8866065,502.0053581,504.5889614,507.3047617,511.3705599,511.3748356,455.1362972,454.9292268,454.9485986,449.9852957,449.9884576,449.9994643,450.1334981,474.4116363,475.2257289,475.6162497,480.2358881,484.748268,488.9557832,488.9565837,489.0060979,489.0693364,489.8804144,490.2081129,499.3134608,504.5731949,516.6757541,522.3181923,541.4978646,558.6727063,566.4849132,571.9395603,579.3338335,554.6756948,558.4453014,559.4978788,565.668238,567.3414568,567.4161023,568.0860445,570.1491405,570.1518295,569.9794305,569.3922668,568.3495327
Daegu,60<x<=85,277.7135034,277.3692983,275.6741169,274.9250805,273.5341905,272.4949074,271.1146394,269.836797,269.1930291,268.6822059,267.3058852,267.0126573,266.4618905,266.2812401,265.7165067,265.2214014,265.1638694,265.1864836,265.4485105,267.2516008,268.8639996,270.2795561,271.8979232,272.7475985,273.7062219,274.5061422,275.9323226,277.7392604,279.0269302,279.8012496,280.2490218,280.8573901,282.2721693,284.0126763,285.1129974,285.637976,277.6825354,277.8143186,278.2297478,277.7931188,277.569609,277.8692761,277.6933987,278.1350132,278.4921669,278.8233338,279.6641509,280.1879121,280.74616,281.8283165,282.7359986,283.1214049,284.0207707,285.5712301,287.4127224,289.5729825,293.1939762,295.6026533,303.7037017,313.3174134,320.1036323,326.2205707,332.3429176,336.0028156,339.9823722,342.8544953,345.4049947,347.95325,350.3420258,364.2819584,378.4619028,384.4574138,390.3240099,395.8782809,400.2056985
